"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Get courses","LMS service","2026-07-31","passed","2026-07-31","Get entities","Courses","",""
"","23","Update course","LMS service","2026-07-31","passed","2026-07-31","Update entity","Courses","",""
"","17","Get file with incorrect file id","LMS service","2026-07-31","passed","2026-07-31","Validate entity","Files","",""
"","14","Get user me","LMS service","2026-07-31","passed","2026-07-31","Get entity","Users","",""
"","14","Get exercise","LMS service","2026-07-31","passed","2026-07-31","Get entity","Exercises","",""
"","17","Create exercise","LMS service","2026-07-31","passed","2026-07-31","Create entity","Exercises","",""
"","19","Delete file","LMS service","2026-07-31","passed","2026-07-31","Delete entity","Files","",""
"","576","Create user","LMS service","2026-07-31","passed","2026-07-31","Create entity","Users","",""
"","13","Get file","LMS service","2026-07-31","passed","2026-07-31","Get entity","Files","",""
"","57","Create file with empty filename","LMS service","2026-07-31","passed","2026-07-31","Validate entity","Files","",""
"","620","Login with correct email and password","LMS service","2026-07-31","passed","2026-07-31","Login","Authentication","",""
"","320","Create user","LMS service","2026-07-31","passed","2026-07-31","Create entity","Users","",""
"","598","Create user","LMS service","2026-07-31","passed","2026-07-31","Create entity","Users","",""
"","18","Delete exercise","LMS service","2026-07-31","passed","2026-07-31","Delete entity","Exercises","",""
"","306","Create file","LMS service","2026-07-31","passed","2026-07-31","Create entity","Files","",""
"","308","Create file with empty directory","LMS service","2026-07-31","passed","2026-07-31","Validate entity","Files","",""
"","27","Create course","LMS service","2026-07-31","passed","2026-07-31","Create entity","Courses","",""
"","18","Update exercise","LMS service","2026-07-31","passed","2026-07-31","Update entity","Exercises","",""
"","12","Get exercises","LMS service","2026-07-31","passed","2026-07-31","Get entities","Exercises","",""
